season,team_id,team,ps_n,ps_pd,ps_cont_any,ps_cont_last2,ps_cont_wt,ps_top5_ret,rookie_ps_share,rookie_rs_share10,first5_cont,open_cont,n_ps_players,n_ps_rookie_players
2024-25,1610612749,MIL,4,-14.75,0.6634,0.6634,0.6463,0,0.2101,0.0207,0.6634,0.6588,19,4
2024-25,1610612750,MIN,5,2.8,0.7,0.6008,0.6802,0,0.1788,0.0139,0.7,0.684,20,3
2024-25,1610612751,BKN,4,1.0,0.4047,0.4047,0.404,2,0.0138,0.0013,0.5547,0.5072,15,1
2024-25,1610612752,NYK,5,7.0,0.475,0.4731,0.4737,2,0.1387,0.0443,0.4149,0.4149,16,3
2024-25,1610612753,ORL,3,1.0,0.8685,0.8685,0.744,4,0.0895,0.0585,0.8685,0.8602,22,3
2024-25,1610612754,IND,4,3.0,0.8069,0.8045,0.7699,4,0.1262,0.0193,0.8038,0.7617,18,2
2024-25,1610612755,PHI,6,2.833,0.3276,0.3276,0.3276,1,0.2251,0.0755,0.3276,0.3276,20,6
2024-25,1610612756,PHX,5,-1.6,0.6965,0.5209,0.5524,3,0.2261,0.0768,0.6479,0.6242,20,4
2024-25,1610612757,POR,4,16.75,0.7492,0.6636,0.685,2,0.0855,0.0566,0.8641,0.728,16,1
2024-25,1610612758,SAC,5,-11.6,0.5888,0.5888,0.5888,2,0.1204,0.0024,0.7244,0.7147,18,3
2024-25,1610612759,SAS,5,-2.8,0.7458,0.7458,0.7203,3,0.1268,0.0992,0.7458,0.7361,20,3
2024-25,1610612760,OKC,5,11.8,0.7159,0.7159,0.7159,2,0.3317,0.0957,0.7159,0.7159,18,7
2024-25,1610612761,TOR,5,2.0,0.482,0.3905,0.3714,4,0.2101,0.2134,0.4385,0.3826,19,5
2024-25,1610612762,UTA,6,0.333,0.6596,0.6596,0.6497,0,0.1921,0.1693,0.6596,0.6278,18,3
2024-25,1610612763,MEM,5,-3.6,0.3915,0.3915,0.3845,2,0.2755,0.1965,0.4423,0.3349,17,4
2024-25,1610612764,WAS,5,-14.0,0.5996,0.5126,0.5806,0,0.2515,0.3515,0.5918,0.5757,19,4
2024-25,1610612765,DET,5,8.2,0.4869,0.4869,0.4802,1,0.2007,0.0622,0.4721,0.4721,19,5
2024-25,1610612766,CHA,5,3.0,0.5902,0.5902,0.5409,0,0.1803,0.0582,0.5902,0.5533,20,2
2025-26,1610612737,ATL,4,-5.0,0.6428,0.421,0.6079,3,0.1582,0.0241,0.6428,0.5832,19,4
2025-26,1610612738,BOS,4,12.25,0.5257,0.5257,0.4902,2,0.103,0.0487,0.5257,0.486,20,4
2025-26,1610612739,CLE,4,-5.25,0.564,0.564,0.5224,4,0.1198,0.0435,0.564,0.5221,19,5
2025-26,1610612740,NOP,2,-4.5,0.4451,0.4451,0.4378,1,0.252,0.2213,0.4451,0.3359,19,5
2025-26,1610612741,CHI,5,0.2,0.7128,0.7128,0.6895,3,0.0716,0.0,0.6836,0.6105,18,2
2025-26,1610612742,DAL,4,13.25,0.4934,0.4934,0.4701,2,0.2592,0.1779,0.5074,0.5074,18,5
2025-26,1610612743,DEN,5,1.2,0.7026,0.7026,0.7021,1,0.0461,0.0,0.7026,0.5486,19,2
2025-26,1610612744,GSW,5,1.6,0.772,0.6387,0.7311,3,0.1437,0.056,0.7694,0.6241,18,3
2025-26,1610612745,HOU,4,10.5,0.5254,0.5254,0.5191,0,0.0365,0.0,0.5552,0.4653,15,1
2025-26,1610612746,LAC,4,15.0,0.664,0.6627,0.6274,1,0.1498,0.0196,0.6411,0.6033,22,4
2025-26,1610612747,LAL,6,-9.5,0.5383,0.5291,0.5383,2,0.0561,0.0029,0.5383,0.4361,17,1
2025-26,1610612748,MIA,6,-9.333,0.5479,0.4899,0.4831,3,0.1346,0.0011,0.5479,0.4598,21,5
2025-26,1610612749,MIL,4,4.5,0.6715,0.66,0.6534,4,0.028,0.005,0.6569,0.6534,21,2
2025-26,1610612750,MIN,6,7.0,0.8678,0.7511,0.8325,0,0.1344,0.012,0.8674,0.834,21,2
2025-26,1610612751,BKN,3,-2.667,0.5132,0.4928,0.4667,2,0.2446,0.1554,0.488,0.4803,20,6
2025-26,1610612752,NYK,5,3.4,0.8462,0.4232,0.6998,3,0.0427,0.0054,0.8413,0.6754,21,1
2025-26,1610612753,ORL,4,15.25,0.6132,0.6132,0.6132,3,0.1666,0.0302,0.6641,0.6285,19,3
2025-26,1610612754,IND,4,-7.25,0.7106,0.601,0.5855,2,0.1739,0.0264,0.6393,0.6163,20,2
2025-26,1610612755,PHI,4,-9.5,0.4612,0.4224,0.3929,3,0.2147,0.1601,0.4945,0.4224,17,4
2025-26,1610612756,PHX,4,8.5,0.4997,0.4997,0.4924,0,0.1859,0.0198,0.4997,0.4997,17,4
2025-26,1610612757,POR,4,-3.75,0.5985,0.4459,0.544,3,0.1744,0.023,0.721,0.5643,14,3
2025-26,1610612758,SAC,4,-6.5,0.7057,0.4711,0.635,2,0.2117,0.0925,0.574,0.3994,18,3
2025-26,1610612759,SAS,5,17.0,0.6268,0.6268,0.6133,4,0.1797,0.0818,0.6268,0.6268,18,3
2025-26,1610612760,OKC,6,0.333,0.7843,0.6726,0.7346,1,0.266,0.0391,0.7019,0.6688,18,3
2025-26,1610612761,TOR,6,1.667,0.7842,0.7488,0.757,3,0.1075,0.0698,0.7602,0.6931,19,3
2025-26,1610612762,UTA,4,-6.75,0.5335,0.5335,0.4512,3,0.1992,0.1479,0.5335,0.5136,17,3
2025-26,1610612763,MEM,5,-10.6,0.475,0.3896,0.4252,2,0.2261,0.1514,0.4667,0.4181,19,4
2025-26,1610612764,WAS,3,-1.667,0.5272,0.5272,0.4629,2,0.2224,0.1406,0.6561,0.5574,19,4
2025-26,1610612765,DET,4,3.25,0.6591,0.5728,0.5705,4,0.1334,0.0146,0.5728,0.5684,19,3
2025-26,1610612766,CHA,5,0.2,0.4102,0.394,0.4086,2,0.2957,0.3914,0.3675,0.3675,18,4
