season,game_id,game_date,home,away,y,pts_h,pts_a,am,p_mkt,gp_home,gp_away,ff_ready,carry_active,n_cur_rows,n_out_home,n_out_away,b2b_h,b2b_a,cm,fm,rm_core,prior_term,sched,cont_h,cont_a,m_us,p_us
2023-24,0022300152,2023-11-06,CHI,UTA,1,130,113,17,0.6231343912109123,7,7,1,1,102,0,0,0,0,2.295299,2.734912,0.253202,1.003303,2.114936,0.8551,0.6598,4.630041,0.6554451474599493
2023-24,0022300147,2023-11-06,ORL,DAL,0,102,117,-15,0.5536717270480503,6,6,1,1,102,4,2,0,1,-7.485666,-2.149193,0.451875,-1.108149,4.995602,0.7738,0.5023,0.178173,0.5061862312519947
2023-24,0022300155,2023-11-06,OKC,ATL,1,126,117,9,0.5179520501205839,6,6,1,1,102,4,0,0,0,-4.529288,0.492272,-0.457061,0.190046,2.114936,0.7616,0.8019,0.096428,0.5033481461542506
2023-24,0022300156,2023-11-06,DEN,NOP,1,134,116,18,0.6878806892309335,7,6,1,1,102,1,1,0,0,4.498119,4.917801,2.614127,1.192765,2.114936,0.693,0.5903,6.822896,0.7206371864315873
2023-24,0022300150,2023-11-06,MIA,LAL,1,108,107,1,0.5536717270480503,6,6,1,1,102,6,2,0,0,-2.734531,-1.846924,-0.622447,-0.11634,2.114936,0.652,0.3762,-0.175791,0.49389643230402236
2023-24,0022300146,2023-11-06,IND,SAS,1,152,111,41,0.7722859781343504,6,6,1,1,102,0,1,0,1,2.808845,7.183648,1.826416,3.208171,4.995602,0.8529,0.6978,9.991849,0.8002338831247533
2023-24,0022300145,2023-11-06,DET,GSW,0,109,120,-11,0.2277140218656496,7,7,1,1,102,3,0,1,1,-10.655793,-8.123294,-1.17053,-4.209398,3.889517,0.5484,0.6055,-5.500026,0.317801745393228
2023-24,0022300148,2023-11-06,PHI,WAS,1,146,128,18,0.8392015046448209,5,5,1,1,102,2,0,0,0,13.423429,6.233813,2.001736,2.465604,2.114936,0.6444,0.5176,11.943558,0.8400805372631345
2023-24,0022300161,2023-11-08,NYK,SAS,1,126,105,21,0.796561813968603,7,7,1,0,206,0,1,0,0,10.368178,9.185735,2.068351,4.595278,2.252811,0.9061,0.6978,12.029768,0.8416825994430573
2023-24,0022300166,2023-11-08,MIN,NOP,1,122,101,21,0.796561813968603,6,7,1,0,206,0,3,0,0,6.288534,8.450917,2.810644,-0.656059,2.252811,0.6984,0.5909,9.622537,0.7919077506329794
2023-24,0022300167,2023-11-08,OKC,CLE,1,128,120,8,0.41115435030019515,7,7,1,0,206,3,4,0,0,-5.817368,-2.424768,-0.372682,-1.428617,2.252811,0.7616,0.6297,-1.868257,0.4354915142065327
2023-24,0022300168,2023-11-08,DAL,TOR,0,116,127,-11,0.656232981418711,7,7,1,0,206,2,2,0,0,3.587336,0.333252,1.52412,-0.54757,2.252811,0.5023,0.7515,4.213105,0.6422523705803166
2023-24,0022300158,2023-11-08,IND,UTA,1,134,118,16,0.6878806892309335,7,8,1,0,206,5,1,0,0,1.677729,3.118355,1.763357,-0.743663,2.252811,0.8529,0.6598,4.650853,0.6560976369388064
2023-24,0022300169,2023-11-08,DEN,GSW,1,108,105,3,0.656232981418711,8,8,1,0,206,2,2,0,0,1.349988,4.260805,1.007664,0.899266,2.252811,0.693,0.6055,5.058208,0.6687482139385695
2023-24,0022300165,2023-11-08,MIL,DET,1,120,118,2,0.857658513410342,6,8,1,0,206,2,3,0,0,11.931291,-3.914773,0.054539,3.812281,2.252811,0.5068,0.5484,6.26107,0.7046610160814879
2023-24,0022300160,2023-11-08,BKN,LAC,1,100,93,7,0.3121193107690664,7,6,1,0,206,2,3,0,0,-9.460547,-2.564061,-1.286091,0.158311,2.252811,0.5381,0.6096,-3.759493,0.37234921779701735
